Species,Official gene symbol,UI,Sensitivity (human),Sensitivity (mouse),Specificity (human),Specificity (mouse),Cell type,Germ layer,Organ,Aliases,Product description,Disease,Action
Mm,KAP,0.007,0.0,0.574,0.0,0.007,Distal tubule cells,Mesoderm,Kidney,,kidney androgen regulated protein,,flag
Mm,ACSM2,0.004,0.0,0.106,0.0,0.005,Distal tubule cells,Mesoderm,Kidney,,acyl-CoA synthetase medium-chain family member 2,,flag
Mm Hs,KCNJ16,0.005,0.0,0.362,0.002,0.005,Distal tubule cells,Mesoderm,Kidney,"Kir5.1,BIR9",potassium voltage-gated channel subfamily J member 16,,flag
Mm Hs,RHCG,0.002,0.0,0.0,0.002,0.0,Distal tubule cells,Mesoderm,Kidney,"RHGK,PDRC2,SLC42A3,C15orf6",Rh family C glycoprotein,,flag
Mm Hs,SOSTDC1,0.009,0.0,0.0,0.002,0.0,Distal tubule cells,Mesoderm,Kidney,"DKFZp564D206,USAG1,DAND7",sclerostin domain containing 1,,flag
Mm Hs,SCNN1A,0.008,0.0,0.0,0.011,0.0,Distal tubule cells,Mesoderm,Kidney,"ENaCalpha,SCNN1",sodium channel epithelial 1 alpha subunit,Y,flag
Mm Hs,VDR,0.011,0.0,0.0,0.003,0.0,Distal tubule cells,Mesoderm,Kidney,"NR1I1,PPP1R163",vitamin D receptor,Y,flag
Mm Hs,CLCNKB,0.002,0.0,0.489,0.0,0.001,Distal tubule cells,Mesoderm,Kidney,hClC-Kb,chloride voltage-gated channel Kb,Y,flag
,GBAS,0.042,0.0,0.17,0.0,0.053,Distal tubule cells,Mesoderm,Kidney,,,,flag
Mm Hs,KLHL3,0.014,0.0,0.468,0.001,0.016,Distal tubule cells,Mesoderm,Kidney,KIAA1129,kelch like family member 3,Y,flag
Mm Hs,KLK1,0.013,0.0,0.851,0.008,0.012,Distal tubule cells,Mesoderm,Kidney,Klk6,kallikrein 1,Y,flag
Mm Hs,KCNJ1,0.002,0.0,0.723,0.001,0.0,Distal tubule cells,Mesoderm,Kidney,"Kir1.1,ROMK1",potassium voltage-gated channel subfamily J member 1,Y,flag
Mm Hs,HOXD8,0.007,0.0,0.34,0.019,0.004,Distal tubule cells,Mesoderm,Kidney,HOX4E,homeobox D8,,flag
Mm Hs,KL,0.004,0.0,0.468,0.0,0.003,Distal tubule cells,Mesoderm,Kidney,,klotho,Y,flag
Mm Hs,EGF,0.002,0.0,0.702,0.0,0.0,Distal tubule cells,Mesoderm,Kidney,,epidermal growth factor,Y,flag
Mm Hs,TMEM213,0.005,0.0,0.0,0.001,0.0,Distal tubule cells,Mesoderm,Kidney,,transmembrane protein 213,,flag
Mm,KNG2,0.005,0.0,0.872,0.0,0.004,Distal tubule cells,Mesoderm,Kidney,,kininogen 2,,flag
Mm Hs,TMEM52B,0.002,0.0,0.0,0.003,0.0,Distal tubule cells,Mesoderm,Kidney,"FLJ31166,C12orf59",transmembrane protein 52B,,flag
Mm,WFDC15B,0.006,,,,,Distal tubule cells,Mesoderm,Kidney,,WAP four-disulfide core domain 15B,,flag
Mm Hs,DEFB1,0.009,0.0,0.915,0.026,0.003,Distal tubule cells,Mesoderm,Kidney,"HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822",defensin beta 1,,flag
Mm Hs,FXYD2,0.025,0.0,1.0,0.004,0.028,Distal tubule cells,Mesoderm,Kidney,"MGC12372,ATP1G1,HOMG2",FXYD domain containing ion transport regulator 2,Y,flag
Mm Hs,CALB1,0.019,0.0,0.638,0.001,0.022,Distal tubule cells,Mesoderm,Kidney,CALB,calbindin 1,,flag
Mm Hs,PVALB,0.005,0.0,0.319,0.003,0.005,Distal tubule cells,Mesoderm,Kidney,D22S749,parvalbumin,,flag
Mm Hs,PGAM2,0.012,0.0,0.532,0.0,0.014,Distal tubule cells,Mesoderm,Kidney,PGAM-M,phosphoglycerate mutase 2,Y,flag
Mm Hs,WNK4,0.003,0.0,0.0,0.001,0.0,Distal tubule cells,Mesoderm,Kidney,PRKWNK4,WNK lysine deficient protein kinase 4,Y,flag
Mm Hs,SGMS2,0.017,0.0,0.0,0.016,0.0,Distal tubule cells,Mesoderm,Kidney,"MGC26963,SMS2",sphingomyelin synthase 2,,flag
Mm Hs,SLC16A7,0.008,0.0,0.0,0.008,0.0,Distal tubule cells,Mesoderm,Kidney,MCT2,solute carrier family 16 member 7,,flag
Mm Hs,LHX1,0.011,0.0,0.021,0.007,0.013,Distal tubule cells,Mesoderm,Kidney,LIM-1,LIM homeobox 1,,flag
Mm Hs,ABCA13,0.001,0.0,0.191,0.003,0.0,Distal tubule cells,Mesoderm,Kidney,"FLJ33876,FLJ33951",ATP binding cassette subfamily A member 13,,flag
Mm,HOXB5OS,0.001,0.0,0.128,0.0,0.001,Distal tubule cells,Mesoderm,Kidney,,"homeobox B5 and homeobox B6, opposite strand",,flag
Mm Hs,EMX1,0.023,0.0,0.191,0.0,0.029,Distal tubule cells,Mesoderm,Kidney,,empty spiracles homeobox 1,,flag
Mm Hs,TRPM6,0.001,0.0,0.0,0.001,0.0,Distal tubule cells,Mesoderm,Kidney,"CHAK2,FLJ22628,HOMG,HSH",transient receptor potential cation channel subfamily M member 6,Y,flag
Mm Hs,CWH43,0.001,0.0,0.0,0.0,0.002,Distal tubule cells,Mesoderm,Kidney,"FLJ21511,CWH43-C,PGAP2IP",cell wall biogenesis 43 C-terminal homolog,,flag
Mm Hs,TRPM7,0.031,0.0,0.0,0.006,0.0,Distal tubule cells,Mesoderm,Kidney,"CHAK1,LTRPC7,TRP-PLIK",transient receptor potential cation channel subfamily M member 7,Y,flag
Mm Hs,UROC1,0.001,0.0,0.0,0.0,0.0,Distal tubule cells,Mesoderm,Kidney,"FLJ31300,HMFN0320",urocanate hydratase 1,Y,flag
Mm Hs,TFRC,0.042,0.0,0.0,0.061,0.0,Distal tubule cells,Mesoderm,Kidney,"CD71,TFR1,p90",transferrin receptor,Y,flag
Mm,LHX1OS,0.013,0.0,0.043,0.0,0.016,Distal tubule cells,Mesoderm,Kidney,,"LIM homeobox 1, opposite strand",,flag
Mm Hs,TSC22D2,0.015,0.0,0.0,0.016,0.0,Distal tubule cells,Mesoderm,Kidney,"KIAA0669,TILZ4a,TILZ4b,TILZ4c",TSC22 domain family member 2,,flag
Mm Hs,LARP1B,0.026,0.0,0.128,0.044,0.023,Distal tubule cells,Mesoderm,Kidney,"FLJ10378,DKFZp434K245,DKFZp686E0316,LARP2",La ribonucleoprotein domain family member 1B,,flag
Mm Hs,CLDN8,0.004,0.0,0.149,0.001,0.004,Distal tubule cells,Mesoderm,Kidney,,claudin 8,,flag
Mm Hs,SLC12A3,0.001,0.0,0.0,0.0,0.0,Distal tubule cells,Mesoderm,Kidney,NCCT,solute carrier family 12 member 3,Y,flag
Mm Hs,UMOD,0.0,0.0,0.0,0.0,0.0,Distal tubule cells,Mesoderm,Kidney,,uromodulin,Y,flag
Mm Hs,JAG1,0.027,0.0,0.0,0.024,0.029,Distal tubule cells,Mesoderm,Kidney,"AHD,AWS,HJ1,CD339,AGS,JAGL1",jagged 1,Y,flag
Mm Hs,WNK1,0.368,0.0,0.0,0.095,0.0,Distal tubule cells,Mesoderm,Kidney,"HSAN2,PPP1R167,PRKWNK1,HSN2",WNK lysine deficient protein kinase 1,Y,flag
Mm Hs,SLC8A1,0.002,0.0,0.0,0.006,0.0,Distal tubule cells,Mesoderm,Kidney,NCX1,solute carrier family 8 member A1,,flag
Mm Hs,AQP2,0.001,0.0,0.021,0.001,0.001,Distal tubule cells,Mesoderm,Kidney,,aquaporin 2,Y,flag
Mm Hs,AVPR2,0.0,0.0,0.0,0.0,0.0,Distal tubule cells,Mesoderm,Kidney,"V2R,DIR3,DIR",arginine vasopressin receptor 2,Y,flag
Mm Hs,DDC,0.014,0.0,0.0,0.005,0.017,Dopaminergic neurons,Ectoderm,Brain,AADC,dopa decarboxylase,Y,flag
Mm Hs,SLC18A2,0.006,0.0,0.0,0.001,0.0,Dopaminergic neurons,Ectoderm,Brain,"SVMT,SVAT,VMAT2",solute carrier family 18 member A2,,flag
Mm Hs,SLC18A3,0.002,0.0,0.0,0.001,0.0,Dopaminergic neurons,Ectoderm,Brain,VACHT,solute carrier family 18 member A3,,flag
Mm Hs,NEUROD6,0.087,0.0,0.0,0.005,0.109,Dopaminergic neurons,Ectoderm,Brain,"Atoh2,NEX1M,Math-2,bHLHa2,Nex1",neuronal differentiation 6,,flag
Mm Hs,SMAD3,0.008,0.0,0.0,0.023,0.0,Dopaminergic neurons,Ectoderm,Brain,"JV15-2,HsT17436,MADH3",SMAD family member 3,Y,flag
Mm Hs,PITX3,0.001,0.0,0.0,0.0,0.001,Dopaminergic neurons,Ectoderm,Brain,ASMD,paired like homeodomain 3,Y,flag
Mm Hs,CACNA2D2,0.027,0.0,0.0,0.001,0.034,Dopaminergic neurons,Ectoderm,Brain,KIAA0558,calcium voltage-gated channel auxiliary subunit alpha2delta 2,,flag
Mm Hs,CADPS2,0.004,0.0,0.0,0.002,0.005,Dopaminergic neurons,Ectoderm,Brain,CAPS2,calcium dependent secretion activator 2,,flag
Mm Hs,CHRNA6,0.003,0.0,0.0,0.0,0.004,Dopaminergic neurons,Ectoderm,Brain,,cholinergic receptor nicotinic alpha 6 subunit,,flag
Mm Hs,MAPK8IP2,0.025,0.0,0.0,0.0,0.032,Dopaminergic neurons,Ectoderm,Brain,"IB2,JIP2,PRKM8IPL",mitogen-activated protein kinase 8 interacting protein 2,,flag
Mm Hs,NTN1,0.007,0.0,0.0,0.0,0.009,Dopaminergic neurons,Ectoderm,Brain,NTN1L,netrin 1,,flag
Mm Hs,PRKCG,0.005,0.0,0.0,0.0,0.006,Dopaminergic neurons,Ectoderm,Brain,"PKCC,MGC57564,PKCG,SCA14",protein kinase C gamma,Y,flag
Hs,SCN2A,0.002,0.0,0.0,0.003,0.0,Dopaminergic neurons,Ectoderm,Brain,"Nav1.2,HBSCII,SCN2A1,SCN2A2",sodium voltage-gated channel alpha subunit 2,Y,flag
Mm Hs,TENM1,0.013,0.0,0.0,0.0,0.0,Dopaminergic neurons,Ectoderm,Brain,"TEN-M1,TNM,ODZ1",teneurin transmembrane protein 1,,flag
Mm Hs,ZIM3,0.0,0.0,0.0,0.0,0.0,Dopaminergic neurons,Ectoderm,Brain,ZNF657,zinc finger imprinted 3,,flag
Mm Hs,SLC6A3,0.0,0.0,0.0,0.001,0.0,Dopaminergic neurons,Ectoderm,Brain,DAT,solute carrier family 6 member 3,Y,flag
Mm Hs,FOXA2,0.009,0.0,0.0,0.006,0.01,Dopaminergic neurons,Ectoderm,Brain,HNF3B,forkhead box A2,,flag
Mm Hs,KCNJ6,0.002,0.0,0.0,0.011,0.0,Dopaminergic neurons,Ectoderm,Brain,"Kir3.2,GIRK2,KATP2,BIR1,hiGIRK2,KCNJ7",potassium voltage-gated channel subfamily J member 6,Y,flag
Mm Hs,NR4A2,0.033,0.0,0.0,0.078,0.026,Dopaminergic neurons,Ectoderm,Brain,"TINUR,NOT,RNR1,HZF-3,NURR1",nuclear receptor subfamily 4 group A member 2,Y,flag
Mm Hs,LMX1B,0.001,0.0,0.0,0.0,0.001,Dopaminergic neurons,Ectoderm,Brain,NPS1,LIM homeobox transcription factor 1 beta,Y,flag
Mm Hs,TH,0.002,0.0,0.0,0.002,0.0,Dopaminergic neurons,Ectoderm,Brain,DYT5b,tyrosine hydroxylase,Y,flag
Mm Hs,CFTR,0.003,0.257,0.0,0.004,0.003,Ductal cells,Endoderm,Pancreas,"ABC35,TNR-CFTR,CFTR/MRP,CF,ABCC7",cystic fibrosis transmembrane conductance regulator,Y,flag
Mm Hs,HNF1B,0.005,0.0,0.0,0.01,0.005,Ductal cells,Endoderm,Pancreas,"LFB3,VHNF1,HNF1beta,MODY5,TCF2",HNF1 homeobox B,Y,flag
Mm Hs,KRT20,0.012,0.0,0.0,0.015,0.012,Ductal cells,Endoderm,Pancreas,"CK20,K20,MGC35423",keratin 20,,flag
Mm Hs,MUC1,0.016,0.229,0.0,0.031,0.013,Ductal cells,Endoderm,Pancreas,"CD227,PEM,ADMCKD,ADMCKD1,MCKD,MCKD1","mucin 1, cell surface associated",Y,flag
Mm Hs,ONECUT1,0.001,0.0,0.0,0.0,0.001,Ductal cells,Endoderm,Pancreas,"HNF-6,HNF6,HNF6A",one cut homeobox 1,,flag
Mm Hs,KRT7,0.056,0.914,0.0,0.092,0.047,Ductal cells,Endoderm,Pancreas,"CK7,K2C7",keratin 7,,flag
Mm Hs,CLDN4,0.047,1.0,0.0,0.119,0.029,Ductal cells,Endoderm,Pancreas,"CPE-R,WBSCR8,hCPE-R,CPETR,CPETR1",claudin 4,,flag
Mm Hs,LAMB3,0.017,0.4,0.0,0.05,0.009,Ductal cells,Endoderm,Pancreas,"nicein-125kDa,kalinin-140kDa,BM600-125kDa,LAMNB1",laminin subunit beta 3,Y,flag
Mm Hs,TACSTD2,0.033,0.971,0.0,0.089,0.0,Ductal cells,Endoderm,Pancreas,"TROP2,GA733-1,EGP-1,M1S1",tumor associated calcium signal transducer 2,Y,flag
Mm Hs,CCL2,0.037,0.371,0.0,0.061,0.032,Ductal cells,Endoderm,Pancreas,"MCP1,MCP-1,MCAF,SMC-CF,GDCF-2,HC11,MGC9434,SCYA2",C-C motif chemokine ligand 2,Y,flag
Hs,DCDC2,0.003,0.0,0.0,0.019,0.0,Ductal cells,Endoderm,Pancreas,"KIAA1154,DCDC2A,NPHP19,DFNB66",doublecortin domain containing 2,Y,flag
Mm Hs,CXCL2,0.041,0.286,0.0,0.054,0.038,Ductal cells,Endoderm,Pancreas,"SCYB2,GROb,MIP-2a,MGSA-b,CINC-2a,GRO2",C-X-C motif chemokine ligand 2,,flag
Mm Hs,CTSH,0.147,0.543,0.0,0.104,0.154,Ductal cells,Endoderm,Pancreas,"ACC-4,ACC-5,ACC4,ACC5,CPSB",cathepsin H,,flag
Mm Hs,S100A10,0.374,1.0,0.0,0.526,0.0,Ductal cells,Endoderm,Pancreas,"42C,CLP11,ANX2LG,CAL1L",S100 calcium binding protein A10,,flag
Mm Hs,AMBP,0.013,0.171,0.0,0.012,0.012,Ductal cells,Endoderm,Pancreas,"UTI,EDC1,HI30,IATIL,ITILC,ITI,ITIL",alpha-1-microglobulin/bikunin precursor,,flag
Mm Hs,HHEX,0.037,0.0,0.0,0.023,0.04,Ductal cells,Endoderm,Pancreas,"HEX,HOX11L-PEN,PRHX",hematopoietically expressed homeobox,,flag
Mm Hs,ANXA4,0.06,0.343,0.0,0.071,0.057,Ductal cells,Endoderm,Pancreas,ANX4,annexin A4,,flag
Mm Hs,TFF1,0.006,0.057,0.0,0.02,0.0,Ductal cells,Endoderm,Pancreas,"D21S21,pS2,pNR-2,HP1.A,BCEI",trefoil factor 1,,flag
Mm Hs,TFF2,0.002,0.0,0.0,0.0,0.0,Ductal cells,Endoderm,Pancreas,SML1,trefoil factor 2,,flag
Mm Hs,KRT19,0.088,0.943,0.0,0.162,0.065,Ductal cells,Endoderm,Pancreas,"K19,CK19,K1CS,MGC15366",keratin 19,,flag
Mm Hs,SPP1,0.057,0.286,0.0,0.051,0.0,Ductal cells,Endoderm,Pancreas,"BSPI,ETA-1,BNSP,OPN",secreted phosphoprotein 1,,flag
Mm Hs,PDX1,0.005,0.0,0.0,0.006,0.005,Ductal cells,Endoderm,Pancreas,"IDX-1,STF-1,PDX-1,MODY4,IPF1",pancreatic and duodenal homeobox 1,Y,flag
Hs,SERPINA3,0.0,0.0,0.0,0.0,0.0,Ductal cells,Endoderm,Pancreas,AACT,serpin family A member 3,,flag
Mm Hs,CFB,0.001,0.0,0.0,0.0,0.002,Ductal cells,Endoderm,Pancreas,"H2-Bf,BFD,BF",complement factor B,Y,flag
Mm Hs,GDF15,0.014,0.629,0.0,0.051,0.003,Ductal cells,Endoderm,Pancreas,"PLAB,MIC-1,PDF,NAG-1,PTGFB",growth differentiation factor 15,,flag
Hs,AKR1C3,0.007,0.371,0.0,0.039,0.0,Ductal cells,Endoderm,Pancreas,"KIAA0119,DDX,HAKRB,PGFS,HSD17B5",aldo-keto reductase family 1 member C3,,flag
Mm Hs,MMP7,0.007,0.657,0.0,0.018,0.004,Ductal cells,Endoderm,Pancreas,"PUMP-1,MPSL1",matrix metallopeptidase 7,,flag
Mm Hs,DEFB1,0.009,0.4,0.0,0.022,0.005,Ductal cells,Endoderm,Pancreas,"HBD-1,DEFB-1,DEFB101,HBD1,BD1,MGC51822",defensin beta 1,,flag
Mm Hs,SERPING1,0.066,0.286,0.0,0.097,0.0,Ductal cells,Endoderm,Pancreas,"C1IN,C1-INH,HAE1,HAE2,C1NH",serpin family G member 1,Y,flag
Mm Hs,TSPAN8,0.047,0.486,0.0,0.043,0.0,Ductal cells,Endoderm,Pancreas,"CO-029,TM4SF3",tetraspanin 8,,flag
Mm Hs,CLDN10,0.028,0.343,0.0,0.02,0.03,Ductal cells,Endoderm,Pancreas,"OSP-L,CPETRL3",claudin 10,,flag
Mm Hs,SLPI,0.048,0.886,0.0,0.086,0.0,Ductal cells,Endoderm,Pancreas,"HUSI-I,BLPI,HUSI,WAP4,WFDC4",secretory leukocyte peptidase inhibitor,,flag
Mm Hs,SERPINA5,0.005,0.257,0.0,0.024,0.0,Ductal cells,Endoderm,Pancreas,"PAI3,PROCI,PLANH3,PCI",serpin family A member 5,,flag
Mm Hs,PIGR,0.031,0.2,0.0,0.042,0.029,Ductal cells,Endoderm,Pancreas,,polymeric immunoglobulin receptor,Y,flag
Mm Hs,CLDN1,0.01,0.229,0.0,0.026,0.006,Ductal cells,Endoderm,Pancreas,"SEMP1,ILVASC",claudin 1,Y,flag
Mm Hs,LGALS4,0.032,0.229,0.0,0.036,0.031,Ductal cells,Endoderm,Pancreas,GAL4,galectin 4,,flag
Mm Hs,PERP,0.077,0.971,0.0,0.159,0.052,Ductal cells,Endoderm,Pancreas,"PIGPC1,dJ496H19.1,KCP1,THW,KRTCAP1","PERP, TP53 apoptosis effector",,flag
Mm Hs,PDLIM3,0.013,0.114,0.0,0.018,0.012,Ductal cells,Endoderm,Pancreas,,PDZ and LIM domain 3,,flag
Mm Hs,WFDC2,0.056,0.686,0.0,0.088,0.0,Ductal cells,Endoderm,Pancreas,"HE4,WAP5,dJ461P17.6,EDDM4",WAP four-disulfide core domain 2,,flag
Mm Hs,SLC3A1,0.0,0.0,0.0,0.0,0.0,Ductal cells,Endoderm,Pancreas,"CSNU1,D2H,RBAT,ATR1,NBAT",solute carrier family 3 member 1,Y,flag
Mm Hs,AQP1,0.037,0.0,0.0,0.018,0.042,Ductal cells,Endoderm,Pancreas,"CHIP28,CO",aquaporin 1 (Colton blood group),Y,flag
Mm Hs,ALDH1A3,0.008,0.486,0.0,0.03,0.003,Ductal cells,Endoderm,Pancreas,"RALDH3,ALDH6",aldehyde dehydrogenase 1 family member A3,Y,flag
Mm Hs,VTCN1,0.0,0.0,0.0,0.001,0.0,Ductal cells,Endoderm,Pancreas,"B7-H4,FLJ22418,B7S1,B7X,B7H4",V-set domain containing T cell activation inhibitor 1,,flag
Mm Hs,GJC1,0.026,0.0,1.0,0.011,0.029,Embryonic stem cells,Epiblast,Zygote,"CX45,GJA7",gap junction protein gamma 1,,flag
Mm Hs,TRIM6,0.006,0.0,0.0,0.001,0.0,Embryonic stem cells,Epiblast,Zygote,RNF89,tripartite motif containing 6,,flag
Mm,DPPA5A,0.013,0.0,1.0,0.0,0.013,Embryonic stem cells,Epiblast,Zygote,,developmental pluripotency associated 5A,,flag
Mm Hs,MYC,0.047,0.0,0.0,0.109,0.033,Embryonic stem cells,Epiblast,Zygote,"c-Myc,bHLHe39,MYCC","MYC proto-oncogene, bHLH transcription factor",Y,flag
Mm Hs,FOXD3,0.0,0.0,0.0,0.0,0.0,Embryonic stem cells,Epiblast,Zygote,"Genesis,HFH2",forkhead box D3,Y,flag
Mm Hs,POU5F1,0.003,0.0,0.909,0.001,0.002,Embryonic stem cells,Epiblast,Zygote,"Oct4,MGC22487,OTF3",POU class 5 homeobox 1,,flag
Mm Hs,FUT4,0.001,0.0,0.0,0.0,0.001,Embryonic stem cells,Epiblast,Zygote,"FUC-TIV,CD15,ELFT",fucosyltransferase 4,,flag
Hs,CD24,0.039,0.0,0.0,0.192,0.0,Embryonic stem cells,Epiblast,Zygote,CD24A,CD24 molecule,,flag
Mm Hs,ITGA4,0.036,0.0,0.0,0.011,0.041,Embryonic stem cells,Epiblast,Zygote,"CD49d,CD49D",integrin subunit alpha 4,,flag
Mm Hs,CDH1,0.056,0.0,1.0,0.042,0.057,Embryonic stem cells,Epiblast,Zygote,"uvomorulin,CD324,UVO",cadherin 1,Y,flag
Mm Hs,ABCG2,0.038,0.0,0.182,0.005,0.047,Embryonic stem cells,Epiblast,Zygote,"EST157481,MXR,BCRP,ABCP,CD338",ATP binding cassette subfamily G member 2 (Junior blood group),Y,flag
Mm Hs,PODXL,0.04,0.0,0.0,0.041,0.04,Embryonic stem cells,Epiblast,Zygote,"PCLP,Gp200,PC",podocalyxin like,Y,flag
Hs,ALPP,0.0,0.0,0.0,0.0,0.0,Embryonic stem cells,Epiblast,Zygote,PALP,"alkaline phosphatase, placental",,flag
Mm Hs,PRDM5,0.001,0.0,0.0,0.008,0.0,Embryonic stem cells,Epiblast,Zygote,,PR/SET domain 5,Y,flag
Mm Hs,ANO6,0.012,0.0,0.0,0.008,0.013,Embryonic stem cells,Epiblast,Zygote,"DKFZp313M0720,TMEM16F",anoctamin 6,Y,flag
Mm Hs,CDK8,0.009,0.0,0.0,0.006,0.01,Embryonic stem cells,Epiblast,Zygote,K35,cyclin dependent kinase 8,,flag
Mm Hs,SLC46A2,0.002,0.0,0.0,0.0,0.0,Embryonic stem cells,Epiblast,Zygote,"Ly110,TSCOT",solute carrier family 46 member 2,,flag
Hs,TEX19,0.001,0.0,0.0,0.005,0.0,Embryonic stem cells,Epiblast,Zygote,FLJ35767,testis expressed 19,,flag
Mm Hs,ZSCAN10,0.0,0.0,0.0,0.0,0.0,Embryonic stem cells,Epiblast,Zygote,ZNF206,zinc finger and SCAN domain containing 10,,flag
Mm Hs,KCNIP3,0.007,0.0,0.0,0.0,0.009,Embryonic stem cells,Epiblast,Zygote,"DREAM,KCHIP3,CSEN",potassium voltage-gated channel interacting protein 3,,flag
Mm Hs,PCGF2,0.005,0.0,0.909,0.015,0.002,Embryonic stem cells,Epiblast,Zygote,"MEL-18,ZNF144,RNF110",polycomb group ring finger 2,,flag
Mm Hs,NANOG,0.002,0.0,1.0,0.0,0.001,Embryonic stem cells,Epiblast,Zygote,"FLJ12581,FLJ40451",Nanog homeobox,,flag
Mm Hs,GAL,0.014,0.0,0.0,0.018,0.011,Embryonic stem cells,Epiblast,Zygote,"GMAP,GAL-GMAP,GLNN,GALN",galanin and GMAP prepropeptide,Y,flag
Mm Hs,PITX2,0.01,0.0,0.091,0.011,0.009,Embryonic stem cells,Epiblast,Zygote,"IGDS,Brx1,Otlx2,IRID2,IHG2,RIEG,RIEG1,RGS",paired like homeodomain 2,Y,flag
Mm Hs,BCL3,0.012,0.0,0.636,0.009,0.013,Embryonic stem cells,Epiblast,Zygote,"D19S37,BCL4",B cell CLL/lymphoma 3,,flag
Mm Hs,SALL4,0.015,0.0,0.0,0.012,0.0,Embryonic stem cells,Epiblast,Zygote,"dJ1112F19.1,ZNF797",spalt like transcription factor 4,Y,flag
Mm Hs,ZIC1,0.046,0.0,0.0,0.008,0.0,Embryonic stem cells,Epiblast,Zygote,"ZIC,ZNF201",Zic family member 1,Y,flag
Mm Hs,PUM2,0.094,0.0,1.0,0.009,0.113,Embryonic stem cells,Epiblast,Zygote,"PUMH2,KIAA0235",pumilio RNA binding family member 2,,flag
Mm Hs,GJB4,0.003,0.0,0.0,0.001,0.004,Embryonic stem cells,Epiblast,Zygote,CX30.3,gap junction protein beta 4,Y,flag
Mm Hs,SOX15,0.003,0.0,0.0,0.004,0.0,Embryonic stem cells,Epiblast,Zygote,"SOX27,SOX26,SOX20",SRY-box 15,,flag
Mm Hs,UTF1,0.0,0.0,0.0,0.0,0.0,Embryonic stem cells,Epiblast,Zygote,,undifferentiated embryonic cell transcription factor 1,,flag
Mm Hs,GJB1,0.033,0.0,0.0,0.01,0.038,Embryonic stem cells,Epiblast,Zygote,"CX32,CMTX1,CMTX",gap junction protein beta 1,Y,flag
Mm Hs,LMNA,0.201,0.0,0.091,0.333,0.167,Embryonic stem cells,Epiblast,Zygote,"LMN1,CMD1A,LGMD1B",lamin A/C,Y,flag
Mm Hs,FBXO15,0.005,0.0,1.0,0.011,0.002,Embryonic stem cells,Epiblast,Zygote,"MGC39671,FBX15",F-box protein 15,,flag
Mm Hs,PML,0.007,0.0,1.0,0.008,0.006,Embryonic stem cells,Epiblast,Zygote,"MYL,TRIM19,RNF71",promyelocytic leukemia,,flag
Mm Hs,THY1,0.095,0.0,0.0,0.032,0.0,Embryonic stem cells,Epiblast,Zygote,CD90,Thy-1 cell surface antigen,,flag
Mm Hs,KIT,0.015,0.0,0.909,0.003,0.018,Embryonic stem cells,Epiblast,Zygote,"CD117,SCFR,C-Kit,PBT",KIT proto-oncogene receptor tyrosine kinase,Y,flag
Mm Hs,EPCAM,0.117,0.0,0.818,0.169,0.104,Embryonic stem cells,Epiblast,Zygote,"Ly74,TROP1,GA733-2,EGP34,EGP40,EGP-2,KSA,CD326,Ep-CAM,HEA125,KS1/4,MK-1,MH99,MOC31,323/A3,17-1A,TACST-1,CO-17A,M4S1,MIC18,TACSTD1",epithelial cell adhesion molecule,Y,flag
Mm Hs,CD9,0.344,0.0,1.0,0.271,0.366,Embryonic stem cells,Epiblast,Zygote,"BA2,P24,TSPAN29,MRP-1,MIC3",CD9 molecule,,flag
Mm Hs,ITGB1,0.276,0.0,0.818,0.169,0.302,Embryonic stem cells,Epiblast,Zygote,"CD29,GPIIA,FNRB,MSK12,MDF2",integrin subunit beta 1,,flag
Hs,CD59,0.07,0.0,0.0,0.372,0.0,Embryonic stem cells,Epiblast,Zygote,"16.3A5,EJ16,EJ30,EL32,G344,p18-20,MIC11,MIN1,MSK21,MIN2,MIN3",CD59 molecule (CD59 blood group),Y,flag
Mm Hs,PROM1,0.021,0.0,0.0,0.007,0.024,Embryonic stem cells,Epiblast,Zygote,"AC133,CD133,RP41,CORD12,PROML1,STGD4",prominin 1,Y,flag
Mm Hs,PECAM1,0.051,0.0,0.545,0.044,0.053,Embryonic stem cells,Epiblast,Zygote,CD31,platelet and endothelial cell adhesion molecule 1,,flag
Mm Hs,ITGA6,0.059,0.0,1.0,0.05,0.061,Embryonic stem cells,Epiblast,Zygote,CD49f,integrin subunit alpha 6,Y,flag
Mm Hs,FZD1,0.01,0.0,0.0,0.003,0.012,Embryonic stem cells,Epiblast,Zygote,DKFZp564G072,frizzled class receptor 1,,flag
Hs,KITLG,0.001,0.0,0.0,0.006,0.0,Embryonic stem cells,Epiblast,Zygote,"SCF,Kitl,KL-1,FPH2,SLF,DFNA69",KIT ligand,Y,flag
Mm Hs,SOX2,0.082,0.0,0.0,0.029,0.0,Embryonic stem cells,Epiblast,Zygote,,SRY-box 2,Y,flag
Mm Hs,KLF4,0.126,0.0,1.0,0.139,0.127,Embryonic stem cells,Epiblast,Zygote,"EZF,GKLF",Kruppel like factor 4,,flag
Mm Hs,ZFP42,0.006,0.0,0.0,0.003,0.0,Embryonic stem cells,Epiblast,Zygote,"REX1,ZNF754",ZFP42 zinc finger protein,,flag
Mm Hs,ZFX,0.006,0.0,0.0,0.014,0.0,Embryonic stem cells,Epiblast,Zygote,ZNF926,zinc finger protein X-linked,,flag
